symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,-1,2019-02-18 12:00:00,2019-02-20 00:00:00,110.543,110.82948,110.82948,109.97004,0.3836,-28.6,-100.0,-100.23,9,stop_loss,23.05406,0.19099,1.17386,3.25074,london,2019
USDJPY,-1,2019-02-21 04:00:00,2019-02-22 20:00:00,110.711,110.651,111.01431,110.10439,0.3587,6.0,19.59,19.36,10,time_exit,18.86531,0.2022,1.04114,3.23792,tokyo,2019
USDJPY,-1,2019-02-26 04:00:00,2019-02-27 20:00:00,110.914,110.993,111.20956,110.32287,0.3688,-7.9,-26.51,-26.74,10,time_exit,18.11327,0.19704,1.36684,3.28659,tokyo,2019
USDJPY,1,2019-02-28 16:00:00,2019-03-01 04:00:00,111.095,111.72639,110.7793,111.72639,0.3443,63.1,197.82,197.6,3,take_profit,13.38377,0.21046,1.85682,2.85151,new_york,2019
USDJPY,1,2019-03-01 08:00:00,2019-03-05 00:00:00,111.712,111.814,111.37276,112.39049,0.3268,10.2,30.33,30.11,10,time_exit,18.48736,0.22616,3.9195,2.94474,tokyo,2019
USDJPY,1,2019-03-06 16:00:00,2019-03-07 16:00:00,111.798,111.52062,111.52062,112.35276,0.4009,-27.7,-101.19,-101.42,6,stop_loss,21.71281,0.18492,2.15988,5.02252,new_york,2019
USDJPY,1,2019-03-07 16:00:00,2019-03-08 00:00:00,111.72,111.45532,111.45532,112.24935,0.416,-26.5,-100.2,-100.42,2,stop_loss,15.55266,0.17645,1.46241,5.22641,new_york,2019
USDJPY,1,2019-03-12 00:00:00,2019-03-13 16:00:00,111.183,111.249,110.8533,111.84241,0.3306,6.6,19.86,19.63,10,time_exit,33.81019,0.2198,-0.61538,3.26885,tokyo,2019
USDJPY,1,2019-04-01 04:00:00,2019-04-02 20:00:00,111.081,111.318,110.68224,111.87851,0.2739,23.7,59.07,58.84,10,time_exit,19.52794,0.26584,1.50606,-0.26964,tokyo,2019
USDJPY,-1,2019-04-04 00:00:00,2019-04-05 00:00:00,111.484,111.78585,111.78585,110.88031,0.3639,-30.2,-99.96,-100.18,6,stop_loss,29.19996,0.20123,2.36419,0.84606,tokyo,2019
USDJPY,1,2019-04-08 16:00:00,2019-04-09 12:00:00,111.359,111.09708,111.09708,111.88285,0.4152,-26.2,-98.96,-99.19,5,stop_loss,25.49482,0.17462,0.5069,1.83418,new_york,2019
USDJPY,1,2019-04-12 12:00:00,2019-04-16 04:00:00,111.938,111.96,111.6648,112.4844,0.3941,2.2,7.89,7.66,10,time_exit,30.9974,0.18213,3.42628,1.58431,london,2019
USDJPY,1,2019-04-16 04:00:00,2019-04-17 20:00:00,111.98,112.066,111.75648,112.42704,0.4821,8.6,37.73,37.5,10,time_exit,35.34346,0.14901,2.97481,2.81111,tokyo,2019
USDJPY,1,2019-04-18 16:00:00,2019-04-22 08:00:00,111.968,111.924,111.7567,112.3906,0.5119,-4.4,-20.5,-20.72,10,time_exit,27.92366,0.14087,1.6408,3.54425,new_york,2019
USDJPY,1,2019-04-24 12:00:00,2019-04-24 20:00:00,111.831,112.21776,111.63762,112.21776,0.5581,38.7,196.42,196.2,2,take_profit,20.24857,0.12892,0.00421,3.54306,london,2019
USDJPY,-1,2019-04-25 20:00:00,2019-04-26 12:00:00,111.583,111.87201,111.87201,111.00498,0.3809,-28.9,-100.18,-100.4,4,stop_loss,18.15123,0.19267,-1.38997,2.26164,new_york,2019
USDJPY,-1,2019-05-03 00:00:00,2019-05-06 00:00:00,111.494,110.94925,111.76638,110.94925,0.4001,54.5,198.34,198.11,6,take_profit,15.93176,0.18158,-0.56405,0.90132,tokyo,2019
USDJPY,1,2019-05-09 16:00:00,2019-05-13 08:00:00,109.76,109.657,109.39349,110.49302,0.3033,-10.3,-28.43,-28.66,10,time_exit,48.22919,0.24434,-4.24433,-1.73095,new_york,2019
USDJPY,-1,2019-05-15 20:00:00,2019-05-16 16:00:00,109.437,109.85726,109.85726,108.59648,0.2638,-42.0,-100.89,-101.11,5,stop_loss,31.506,0.28017,-2.08413,-2.99679,new_york,2019
USDJPY,-1,2019-05-20 20:00:00,2019-05-21 12:00:00,109.97,110.34623,110.34623,109.21754,0.2917,-37.6,-99.87,-100.1,4,stop_loss,17.26979,0.25082,0.13909,-3.00824,new_york,2019
USDJPY,1,2019-05-23 12:00:00,2019-05-23 16:00:00,110.14,109.81896,109.81896,110.78207,0.3384,-32.1,-98.86,-99.09,1,stop_loss,13.9732,0.21402,0.09119,-2.40861,london,2019
USDJPY,1,2019-05-23 16:00:00,2019-05-23 20:00:00,109.992,109.67043,109.67043,110.63514,0.3344,-32.2,-97.85,-98.08,1,stop_loss,14.22084,0.21438,-0.58031,-2.39837,new_york,2019
USDJPY,-1,2019-05-24 20:00:00,2019-05-28 12:00:00,109.375,109.444,109.73661,108.65178,0.2944,-6.9,-18.49,-18.71,10,time_exit,22.3209,0.24107,-2.48979,-2.41006,new_york,2019
USDJPY,-1,2019-06-05 00:00:00,2019-06-06 16:00:00,108.141,108.197,108.54199,107.33903,0.265,-5.6,-13.5,-13.73,10,time_exit,32.84496,0.26732,-3.09308,-3.81967,tokyo,2019
USDJPY,1,2019-06-11 08:00:00,2019-06-12 08:00:00,108.595,108.22854,108.22854,109.32792,0.2896,-36.6,-96.57,-96.8,6,stop_loss,14.9605,0.24431,0.05024,-4.23101,tokyo,2019
USDJPY,1,2019-06-13 16:00:00,2019-06-14 08:00:00,108.471,108.16859,108.16859,109.07581,0.3474,-30.2,-95.6,-95.83,4,stop_loss,14.9034,0.2016,-0.31475,-4.62809,new_york,2019
