atr_regime,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
high_vol,72,51.4,349.12,4.85,84.34,-79.18,1.13
low_vol,72,40.3,202.25,2.81,136.24,-87.18,1.05
med_vol,73,41.1,-559.21,-7.66,96.74,-80.49,0.84
