exit_reason,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
take_profit,31,100.0,2359.5,76.11,76.11,0.0,999.0
time_exit,94,20.2,-3141.61,-33.42,17.12,-46.22,0.09
stop_loss,91,0.0,-6624.49,-72.8,0.0,-72.8,0.0
