symbol,n,expectancy_mean,expectancy_p05,expectancy_p95,pf_mean,pf_p05,pf_p95,n_signals_matched,real_expectancy,real_pf
GBPJPY,100,8.583278871603563,0.2973203409164286,20.245169034090907,1.1514,1.0095,1.311,676,-5.285084033613447,0.9
USDJPY,100,10.171689185504645,0.1347204676489437,20.301566255544074,1.1825999999999999,0.9995,1.34,611,-4.376604651162789,0.92
XAUUSD,100,12.497257187238828,4.179927585681977,23.30604865048051,1.1961,1.07,1.3505,666,4.249722222222221,1.09
