adx_bucket,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
>35 very strong,47,42.6,-132.12,-2.81,111.61,-87.56,0.94
20-25 marginal,105,41.0,-390.2,-3.72,116.39,-87.02,0.93
25-35 strong,86,38.4,-735.53,-8.55,106.76,-80.35,0.83
