symbol,best_tercile,worst_tercile,p_value,observed_stat,max_seed_dispersion,effect_exceeds_noise,n_pooled
USDJPY,1,3,0.179,1.116,7.975,False,71951
XAUUSD,3,1,0.0,3.144,10.68,False,68276
GBPJPY,1,3,0.007,1.857,7.937,False,71884
EURUSD,3,1,0.034,1.489,7.624,False,72015
AUDUSD,3,2,0.241,0.977,8.481,False,72098
