atr_regime,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
low_vol,71,43.7,761.18,10.72,140.51,-89.86,1.21
high_vol,71,40.8,-773.44,-10.89,105.57,-91.31,0.8
med_vol,73,38.4,-893.83,-12.24,109.19,-87.8,0.77
