session,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
london,50,24.0,-1504.29,-30.09,65.39,-60.23,0.34
new_york,68,14.7,-2640.45,-38.83,62.06,-56.23,0.19
