symbol,seed,expectancy,pf,n_signals,signed,real_expectancy,real_pf
USDJPY,0,-5.539691629955947,0.8827500876453606,454,True,-0.9208837209302331,0.9821288018832499
USDJPY,1,5.149800443458981,1.0829678318181006,451,True,-0.9208837209302331,0.9821288018832499
USDJPY,2,7.103371040723982,1.1256174467053373,442,True,-0.9208837209302331,0.9821288018832499
USDJPY,3,4.714512471655327,1.0891106380297682,441,True,-0.9208837209302331,0.9821288018832499
USDJPY,4,-7.383053097345131,0.8559329021718812,452,True,-0.9208837209302331,0.9821288018832499
USDJPY,5,3.6768750000000003,1.0632618939896001,432,True,-0.9208837209302331,0.9821288018832499
USDJPY,6,2.54139689578714,1.0520899704867281,451,True,-0.9208837209302331,0.9821288018832499
USDJPY,7,12.699186813186811,1.1853467715808013,455,True,-0.9208837209302331,0.9821288018832499
USDJPY,8,-6.594707207207207,0.8671645792777561,444,True,-0.9208837209302331,0.9821288018832499
USDJPY,9,-5.462431818181819,0.8901797994105686,440,True,-0.9208837209302331,0.9821288018832499
USDJPY,10,-1.9196803652968037,0.9629055291417167,438,True,-0.9208837209302331,0.9821288018832499
USDJPY,11,-4.43236559139785,0.9050471228501942,465,True,-0.9208837209302331,0.9821288018832499
USDJPY,12,4.418486238532111,1.0909846142365895,436,True,-0.9208837209302331,0.9821288018832499
USDJPY,13,9.461529933481152,1.15603300309276,451,True,-0.9208837209302331,0.9821288018832499
USDJPY,14,-7.231051454138701,0.8261711323872886,447,True,-0.9208837209302331,0.9821288018832499
USDJPY,15,3.2537068965517224,1.0579919910114952,464,True,-0.9208837209302331,0.9821288018832499
USDJPY,16,0.02223946784922187,1.0004544937560351,451,True,-0.9208837209302331,0.9821288018832499
USDJPY,17,-2.3835807860262,0.9560464868151136,458,True,-0.9208837209302331,0.9821288018832499
USDJPY,18,-1.150067264573991,0.9788652859241312,446,True,-0.9208837209302331,0.9821288018832499
USDJPY,19,-4.639402298850574,0.9061227622554093,435,True,-0.9208837209302331,0.9821288018832499
USDJPY,20,3.9866666666666677,1.06859947046401,447,True,-0.9208837209302331,0.9821288018832499
USDJPY,21,-3.3961197339246127,0.9279015546602384,451,True,-0.9208837209302331,0.9821288018832499
USDJPY,22,3.796704288939052,1.071783600148523,443,True,-0.9208837209302331,0.9821288018832499
USDJPY,23,-1.751501103752759,0.9685374803812793,453,True,-0.9208837209302331,0.9821288018832499
USDJPY,24,-7.027899343544855,0.8475857159805432,457,True,-0.9208837209302331,0.9821288018832499
USDJPY,25,5.985963302752295,1.1093732582241156,436,True,-0.9208837209302331,0.9821288018832499
USDJPY,26,-8.447790432801822,0.8301001830672841,439,True,-0.9208837209302331,0.9821288018832499
USDJPY,27,-3.613982102908279,0.9325933884814788,447,True,-0.9208837209302331,0.9821288018832499
USDJPY,28,-5.729048672566371,0.8875079931606348,452,True,-0.9208837209302331,0.9821288018832499
USDJPY,29,8.137937219730945,1.1616305918555017,446,True,-0.9208837209302331,0.9821288018832499
USDJPY,30,-6.244510250569477,0.8649323390511947,439,True,-0.9208837209302331,0.9821288018832499
USDJPY,31,-5.382080536912752,0.8848543443040763,447,True,-0.9208837209302331,0.9821288018832499
USDJPY,32,11.034840909090907,1.186325090047808,440,True,-0.9208837209302331,0.9821288018832499
USDJPY,33,-1.2032258064516135,0.9756660952097811,434,True,-0.9208837209302331,0.9821288018832499
