session,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
new_york,85,41.2,-355.13,-4.18,110.59,-84.52,0.92
london,62,33.9,-1351.27,-21.79,106.02,-87.26,0.62
