timeframe,symbol,best_session,worst_session,p_value,observed_stat,max_seed_dispersion,effect_exceeds_noise,min_n,n_below_30
H1,USDJPY,london,new_york,0.001,2.871,9.426,False,18969,False
H1,XAUUSD,london,new_york,0.0,11.644,12.945,False,19277,False
H1,GBPJPY,london,new_york,0.0,4.193,7.999,False,18807,False
H1,EURUSD,london,new_york,0.393,0.707,6.919,False,19380,False
H1,AUDUSD,tokyo,new_york,0.019,1.901,8.765,False,18660,False
H4,EURUSD,london,new_york,0.874,0.563,16.606,False,5644,False
H4,AUDUSD,tokyo,new_york,0.074,3.77,21.805,False,2904,False
