year,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
2020,42,50.0,503.34,11.98,110.34,-86.37,1.28
2023,36,50.0,358.37,9.95,100.44,-80.53,1.25
2022,34,47.1,191.56,5.63,105.31,-82.96,1.13
2024,47,53.2,153.92,3.27,96.22,-102.35,1.07
2021,28,35.7,-107.53,-3.84,150.85,-89.78,0.93
2019,29,34.5,-154.41,-5.32,143.08,-83.43,0.9
