symbol,timeframe,seed,n_signals,n_eligible
GBPJPY,H1,60,1857,37142
GBPJPY,H1,61,1857,37142
GBPJPY,H1,62,1857,37142
GBPJPY,H1,63,1857,37142
GBPJPY,H1,64,1857,37142
GBPJPY,H1,65,1857,37142
GBPJPY,H1,66,1857,37142
GBPJPY,H1,67,1857,37142
GBPJPY,H1,68,1857,37142
GBPJPY,H1,69,1857,37142
GBPJPY,H1,70,1857,37142
GBPJPY,H1,71,1857,37142
GBPJPY,H1,72,1857,37142
GBPJPY,H1,73,1857,37142
GBPJPY,H1,74,1857,37142
GBPJPY,H1,75,1857,37142
GBPJPY,H1,76,1857,37142
GBPJPY,H1,77,1857,37142
GBPJPY,H1,78,1857,37142
GBPJPY,H1,79,1857,37142
GBPJPY,H1,80,1857,37142
GBPJPY,H1,81,1857,37142
GBPJPY,H1,82,1857,37142
GBPJPY,H1,83,1857,37142
GBPJPY,H1,84,1857,37142
GBPJPY,H1,85,1857,37142
GBPJPY,H1,86,1857,37142
GBPJPY,H1,87,1857,37142
GBPJPY,H1,88,1857,37142
GBPJPY,H1,89,1857,37142
GBPJPY,H1,90,1857,37142
GBPJPY,H1,91,1857,37142
GBPJPY,H1,92,1857,37142
GBPJPY,H1,93,1857,37142
GBPJPY,H1,94,1857,37142
GBPJPY,H1,95,1857,37142
GBPJPY,H1,96,1857,37142
GBPJPY,H1,97,1857,37142
GBPJPY,H1,98,1857,37142
GBPJPY,H1,99,1857,37142
