year,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
2023,35,54.3,869.4,24.84,112.35,-79.08,1.69
2021,41,43.9,259.88,6.34,129.46,-90.02,1.13
2024,43,44.2,-76.5,-1.78,96.35,-79.47,0.96
2020,30,40.0,-207.98,-6.93,113.37,-87.14,0.87
2019,28,32.1,-367.77,-13.13,136.68,-84.1,0.77
2022,61,29.5,-2176.51,-35.68,81.9,-84.9,0.4
