year,trades,total_pnl,win_rate
2019,29,493.25,48.3
2020,22,-1345.1,18.2
2021,44,1100.91,50.0
2022,45,-68.35,44.4
2023,37,-1378.45,24.3
2024,38,256.77,50.0
