adx_bucket,trades,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,pf
20-25 marginal,66,50.0,1732.77,26.25,137.32,-84.81,1.62
<20 weak,1,0.0,-113.72,-113.72,0.0,-113.72,0.0
>35 very strong,50,42.0,-806.39,-16.13,86.93,-90.75,0.69
25-35 strong,96,32.3,-1821.37,-18.97,135.02,-92.42,0.7
