symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,2019-02-18 12:00:00,2019-02-19 16:00:00,142.754,144.00775,142.12712,144.00775,0.1753,125.4,200.0,199.68,7,take_profit,23.13335,0.41792,1.10345,1.62811,london,2019
GBPJPY,2019-02-21 00:00:00,2019-02-22 12:00:00,144.643,143.92835,143.92835,146.07231,0.1568,-71.5,-101.97,-102.29,9,stop_loss,36.88699,0.47644,3.39413,2.34765,,2019
GBPJPY,2019-02-27 08:00:00,2019-02-27 16:00:00,146.472,147.97108,145.72246,147.97108,0.148,149.9,201.9,201.58,2,take_profit,47.88162,0.49969,3.95227,3.68365,london,2019
GBPJPY,2019-02-27 20:00:00,2019-03-01 12:00:00,147.576,147.956,146.75722,149.21357,0.1382,38.0,47.79,47.47,10,time_exit,50.57322,0.54586,5.07602,3.68995,new_york,2019
GBPJPY,2019-03-01 20:00:00,2019-03-04 16:00:00,147.853,147.13777,147.13777,149.28347,0.159,-71.5,-103.49,-103.81,5,stop_loss,52.66119,0.47682,3.9995,5.43521,new_york,2019
GBPJPY,2019-03-05 16:00:00,2019-03-07 08:00:00,146.795,147.06,146.05993,148.26514,0.1531,26.5,36.92,36.6,10,time_exit,34.20117,0.49005,0.55167,5.56158,new_york,2019
GBPJPY,2019-03-12 08:00:00,2019-03-12 12:00:00,147.034,146.00844,146.00844,149.08513,0.1101,-102.6,-102.75,-103.07,1,stop_loss,33.40469,0.68371,1.28125,2.62795,london,2019
GBPJPY,2019-03-13 16:00:00,2019-03-15 08:00:00,146.692,147.912,145.53055,149.0149,0.0963,122.0,106.91,106.59,10,time_exit,24.17185,0.7743,0.73198,2.11276,new_york,2019
GBPJPY,2019-03-18 00:00:00,2019-03-18 16:00:00,148.2,147.07291,147.07291,150.45418,0.1003,-112.7,-102.87,-103.19,4,stop_loss,29.00363,0.75139,1.71575,2.64323,,2019
GBPJPY,2019-03-21 04:00:00,2019-03-21 08:00:00,146.287,145.39569,145.39569,148.06961,0.1255,-89.1,-101.79,-102.11,1,stop_loss,21.36154,0.5942,-1.52561,3.03641,,2019
GBPJPY,2019-03-21 08:00:00,2019-03-21 12:00:00,146.018,145.12479,145.12479,147.80443,0.124,-89.3,-100.79,-101.11,1,stop_loss,23.06724,0.59548,-1.89668,2.94201,london,2019
GBPJPY,2019-03-22 08:00:00,2019-03-26 00:00:00,145.49,145.434,144.46199,147.54602,0.1066,-5.6,-5.43,-5.75,10,time_exit,36.13919,0.68534,-1.80868,1.96447,london,2019
GBPJPY,2019-03-27 16:00:00,2019-03-28 00:00:00,146.247,145.2926,145.2926,148.1558,0.1148,-95.4,-99.7,-100.02,2,stop_loss,25.35851,0.63627,0.25576,1.07149,new_york,2019
GBPJPY,2019-04-04 16:00:00,2019-04-05 16:00:00,146.348,145.51795,145.51795,148.0081,0.1307,-83.0,-98.72,-99.04,6,stop_loss,17.00814,0.55337,0.80927,0.76817,new_york,2019
GBPJPY,2019-04-15 12:00:00,2019-04-16 16:00:00,146.66,146.06781,146.06781,147.84438,0.1813,-59.2,-97.7,-98.02,7,stop_loss,22.47739,0.39479,2.00933,0.74766,london,2019
GBPJPY,2019-04-16 20:00:00,2019-04-18 08:00:00,146.179,145.62886,145.62886,147.27929,0.1932,-55.0,-96.72,-97.04,9,stop_loss,20.88788,0.36676,0.33399,1.11178,new_york,2019
GBPJPY,2019-04-18 16:00:00,2019-04-22 08:00:00,145.585,145.392,145.10818,146.53865,0.2207,-19.3,-38.76,-39.08,10,time_exit,19.82418,0.31788,-1.37314,1.06827,new_york,2019
GBPJPY,2019-04-25 08:00:00,2019-04-25 12:00:00,144.564,144.13529,144.13529,145.42143,0.2445,-42.9,-95.39,-95.71,1,stop_loss,29.71722,0.28581,-2.75206,-0.66144,london,2019
GBPJPY,2019-04-25 12:00:00,2019-04-25 16:00:00,144.241,143.79394,143.79394,145.13511,0.2321,-44.7,-94.42,-94.74,1,stop_loss,30.15544,0.29804,-3.57369,-0.73685,london,2019
GBPJPY,2019-04-29 16:00:00,2019-04-30 08:00:00,144.511,144.07222,144.07222,145.38855,0.2341,-43.9,-93.47,-93.79,4,stop_loss,26.05068,0.29252,-1.28155,-1.65832,new_york,2019
GBPJPY,2019-05-01 00:00:00,2019-05-02 16:00:00,145.233,145.22,144.76497,146.16906,0.2173,-1.3,-2.57,-2.89,10,time_exit,20.04758,0.31202,1.45041,-1.49566,,2019
GBPJPY,2019-05-07 08:00:00,2019-05-07 12:00:00,145.216,144.62405,144.62405,146.39989,0.1717,-59.2,-92.49,-92.81,1,stop_loss,18.7958,0.39463,0.06263,-0.37794,london,2019
GBPJPY,2019-05-09 00:00:00,2019-05-09 08:00:00,143.164,142.5587,142.5587,144.3746,0.1663,-60.5,-91.6,-91.92,2,stop_loss,34.22589,0.40353,-3.78731,-1.157,,2019
GBPJPY,2019-05-21 00:00:00,2019-05-21 16:00:00,140.014,141.19739,139.42231,141.19739,0.1684,118.3,181.35,181.03,4,take_profit,63.14649,0.39446,-3.67454,-5.69521,,2019
GBPJPY,2019-05-21 16:00:00,2019-05-22 08:00:00,140.803,140.14079,140.14079,142.12743,0.1534,-66.2,-92.44,-92.76,4,stop_loss,56.70489,0.44148,-1.09881,-5.18891,new_york,2019
GBPJPY,2019-05-24 12:00:00,2019-05-28 04:00:00,138.978,138.832,138.33841,140.25717,0.1573,-14.6,-20.9,-21.22,10,time_exit,36.7795,0.42639,-3.26784,-6.03242,london,2019
GBPJPY,2019-05-29 08:00:00,2019-05-31 00:00:00,138.283,137.782,137.69407,139.46087,0.1704,-50.1,-77.69,-78.01,10,time_exit,22.22309,0.39262,-3.29086,-6.92733,london,2019
GBPJPY,2019-06-13 00:00:00,2019-06-13 08:00:00,137.662,137.1859,137.1859,138.61419,0.209,-47.6,-90.55,-90.87,2,stop_loss,26.40553,0.3174,-0.54577,-7.05019,,2019
GBPJPY,2019-06-14 04:00:00,2019-06-14 12:00:00,137.333,136.85917,136.85917,138.28066,0.2079,-47.4,-89.64,-89.96,2,stop_loss,18.92701,0.31589,-1.35927,-6.80959,,2019
GBPJPY,2019-06-14 20:00:00,2019-06-17 20:00:00,136.727,136.24071,136.24071,137.69957,0.2005,-48.6,-88.73,-89.04,6,stop_loss,21.62175,0.32419,-2.83845,-6.63468,new_york,2019
GBPJPY,2019-06-18 20:00:00,2019-06-20 12:00:00,136.138,136.576,135.58663,137.24074,0.1751,43.8,69.79,69.47,10,time_exit,37.15605,0.36758,-2.64013,-6.23463,new_york,2019
GBPJPY,2019-06-20 12:00:00,2019-06-20 16:00:00,137.016,136.42416,136.42416,138.19968,0.1644,-59.2,-88.54,-88.86,1,stop_loss,24.81542,0.39456,0.25367,-5.59854,london,2019
GBPJPY,2019-06-20 16:00:00,2019-06-24 08:00:00,136.576,136.669,135.94083,137.84634,0.1516,9.3,12.83,12.51,10,time_exit,23.37249,0.42345,-0.77125,-5.18818,new_york,2019
GBPJPY,2019-06-24 08:00:00,2019-06-25 04:00:00,136.977,136.37785,136.37785,138.1753,0.161,-59.9,-87.78,-88.1,5,stop_loss,17.6165,0.39943,0.52829,-5.21529,london,2019
GBPJPY,2019-07-01 12:00:00,2019-07-02 16:00:00,136.864,136.23825,136.23825,138.11551,0.1526,-62.6,-86.9,-87.21,7,stop_loss,17.46458,0.41717,0.31189,-3.67596,london,2019
GBPJPY,2019-07-03 16:00:00,2019-07-05 08:00:00,135.44,135.627,134.86021,136.59958,0.163,18.7,27.74,27.42,10,time_exit,23.7232,0.38653,-2.83526,-3.86482,new_york,2019
GBPJPY,2019-07-11 20:00:00,2019-07-15 12:00:00,135.804,135.30147,135.30147,136.80906,0.1887,-50.3,-86.29,-86.61,10,stop_loss,19.99714,0.33502,-0.31837,-4.20261,new_york,2019
GBPJPY,2019-07-15 20:00:00,2019-07-16 12:00:00,134.957,134.48794,134.48794,135.89513,0.2001,-46.9,-85.41,-85.73,4,stop_loss,16.43608,0.31271,-2.6731,-4.26801,new_york,2019
GBPJPY,2019-07-24 08:00:00,2019-07-25 16:00:00,134.501,135.41872,134.04214,135.41872,0.2025,91.8,169.11,168.79,8,take_profit,17.19894,0.30591,-1.14596,-4.76582,london,2019
GBPJPY,2019-08-01 12:00:00,2019-08-01 16:00:00,132.123,131.48276,131.48276,133.40348,0.1481,-64.0,-86.29,-86.6,1,stop_loss,41.18049,0.42683,-3.30723,-4.47272,london,2019
GBPJPY,2019-08-05 12:00:00,2019-08-07 04:00:00,128.575,129.112,127.69583,130.33333,0.1067,53.7,52.14,51.82,10,time_exit,51.40525,0.58611,-5.99258,-4.64001,london,2019
GBPJPY,2019-08-09 12:00:00,2019-08-09 16:00:00,128.326,127.50215,127.50215,129.9737,0.1146,-82.4,-85.92,-86.23,1,stop_loss,37.04843,0.54923,-3.28272,-6.24398,london,2019
GBPJPY,2019-08-13 16:00:00,2019-08-13 20:00:00,127.168,128.65383,126.42509,128.65383,0.1258,148.6,170.09,169.78,1,take_profit,44.88437,0.49528,-3.54898,-7.78297,new_york,2019
GBPJPY,2019-08-15 12:00:00,2019-08-19 04:00:00,128.162,129.278,127.26145,129.96309,0.1059,111.6,107.55,107.23,10,time_exit,26.51579,0.60036,-0.76362,-6.11355,london,2019
GBPJPY,2019-08-21 20:00:00,2019-08-22 16:00:00,129.272,130.65614,128.57993,130.65614,0.1395,138.4,175.71,175.39,5,take_profit,23.62328,0.46138,0.70898,-5.65897,new_york,2019
GBPJPY,2019-08-23 12:00:00,2019-08-23 16:00:00,130.138,129.4447,129.4447,131.5246,0.142,-69.3,-89.59,-89.91,1,stop_loss,22.02799,0.4622,1.87266,-4.59905,london,2019
GBPJPY,2019-08-27 08:00:00,2019-08-29 00:00:00,129.186,129.469,128.29608,130.96584,0.1095,28.3,28.2,27.88,10,time_exit,17.42133,0.59328,-0.27974,-3.11605,london,2019
GBPJPY,2019-08-29 08:00:00,2019-09-02 00:00:00,129.263,128.905,128.4606,130.86781,0.1218,-35.8,-39.68,-40.0,10,time_exit,16.47291,0.53494,-0.33717,-2.94921,london,2019
GBPJPY,2019-09-05 20:00:00,2019-09-09 12:00:00,131.707,132.287,130.74752,133.62595,0.1014,58.0,53.52,53.2,10,time_exit,29.65837,0.63965,3.63344,-1.77849,new_york,2019
GBPJPY,2019-09-11 04:00:00,2019-09-12 12:00:00,132.937,132.19652,132.19652,134.41796,0.1322,-74.0,-89.08,-89.4,8,stop_loss,29.64875,0.49365,4.10246,0.22099,,2019
GBPJPY,2019-09-20 20:00:00,2019-09-23 08:00:00,134.693,133.93949,133.93949,136.20003,0.1286,-75.4,-88.18,-88.5,3,stop_loss,15.31842,0.50234,1.31143,3.80061,new_york,2019
GBPJPY,2019-10-03 20:00:00,2019-10-04 12:00:00,132.167,131.40665,131.40665,133.68771,0.1262,-76.0,-87.32,-87.64,4,stop_loss,33.2418,0.5069,-1.21069,0.66803,new_york,2019
GBPJPY,2019-10-04 12:00:00,2019-10-08 04:00:00,131.66,132.044,130.97024,133.03953,0.1377,38.4,48.12,47.8,10,time_exit,33.20014,0.45984,-2.11576,0.46959,london,2019
GBPJPY,2019-10-24 12:00:00,2019-10-24 16:00:00,140.076,139.09514,139.09514,142.03773,0.0974,-98.1,-86.94,-87.26,1,stop_loss,20.84407,0.65391,1.86166,5.57551,london,2019
GBPJPY,2019-10-24 20:00:00,2019-10-28 12:00:00,139.529,139.707,138.4908,141.60541,0.0911,17.8,14.76,14.44,10,time_exit,19.86092,0.69214,0.85454,5.24775,new_york,2019
GBPJPY,2019-10-29 16:00:00,2019-10-31 08:00:00,140.018,140.639,139.30104,141.45192,0.1321,62.1,74.65,74.33,10,time_exit,15.36992,0.47797,1.48518,6.94972,new_york,2019
GBPJPY,2019-11-04 04:00:00,2019-11-05 20:00:00,139.968,140.641,139.42277,141.05847,0.1752,67.3,107.3,106.98,10,time_exit,9.55452,0.36349,0.58509,8.21911,,2019
GBPJPY,2019-11-08 04:00:00,2019-11-11 20:00:00,139.955,140.148,139.36571,141.13357,0.1641,19.3,28.82,28.5,10,time_exit,15.20588,0.39286,-0.11517,6.39018,,2019
GBPJPY,2019-11-12 12:00:00,2019-11-13 16:00:00,140.152,139.58403,139.58403,141.28794,0.1708,-56.8,-88.28,-88.6,7,stop_loss,17.07842,0.37865,0.41752,5.75241,london,2019
GBPJPY,2019-11-13 20:00:00,2019-11-15 12:00:00,139.751,140.057,139.20477,140.84347,0.1758,30.6,48.95,48.63,10,time_exit,14.15391,0.36416,-0.65752,5.51438,new_york,2019
GBPJPY,2019-11-19 00:00:00,2019-11-19 16:00:00,140.751,140.22952,140.22952,141.79395,0.1852,-52.1,-87.89,-88.2,4,stop_loss,23.06579,0.34765,1.79032,5.09519,,2019
