symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2019-02-20 00:00:00,2019-02-21 16:00:00,110.621,110.802,110.34976,111.16347,0.4051,18.1,66.72,66.5,10,time_exit,18.53032,0.18082,1.08682,3.48122,tokyo,2019
USDJPY,-1,2019-02-22 20:00:00,2019-02-25 16:00:00,110.58,110.86647,110.86647,110.00707,0.3862,-28.6,-100.68,-100.9,5,stop_loss,11.78134,0.19098,0.0517,3.3647,new_york,2019
USDJPY,-1,2019-02-26 12:00:00,2019-02-28 04:00:00,110.837,110.808,111.12189,110.26723,0.3844,2.9,10.14,9.92,10,time_exit,17.92363,0.18992,0.94469,3.39273,london,2019
USDJPY,-1,2019-02-28 04:00:00,2019-02-28 16:00:00,110.892,111.19193,111.19193,110.29215,0.3655,-30.0,-99.76,-99.98,3,stop_loss,14.88266,0.19995,1.06482,2.99678,tokyo,2019
USDJPY,1,2019-03-18 12:00:00,2019-03-19 04:00:00,111.527,111.23971,111.23971,112.10158,0.3777,-28.7,-98.74,-98.97,4,stop_loss,16.74513,0.19153,0.37402,3.25978,london,2019
USDJPY,-1,2019-03-21 20:00:00,2019-03-22 16:00:00,110.781,110.0147,111.16415,110.0147,0.2804,76.6,195.53,195.31,5,take_profit,25.84743,0.25543,-1.92024,1.48202,new_york,2019
USDJPY,-1,2019-03-25 04:00:00,2019-03-25 12:00:00,109.812,110.23618,110.23618,108.96364,0.2583,-42.4,-99.71,-99.93,2,stop_loss,34.21089,0.28279,-4.22862,0.56051,tokyo,2019
USDJPY,-1,2019-03-25 16:00:00,2019-03-26 12:00:00,110.067,110.49027,110.49027,109.22046,0.2563,-42.3,-98.72,-98.95,5,stop_loss,37.3817,0.28218,-2.95326,0.26131,new_york,2019
USDJPY,-1,2019-03-28 12:00:00,2019-03-28 16:00:00,110.286,110.69118,110.69118,109.47564,0.2651,-40.5,-97.75,-97.97,1,stop_loss,24.54449,0.27012,-1.27752,-0.44468,london,2019
USDJPY,-1,2019-04-01 16:00:00,2019-04-01 20:00:00,110.94,111.31606,111.31606,110.18788,0.2827,-37.6,-96.74,-96.97,1,stop_loss,20.89233,0.25071,0.89222,-0.17537,new_york,2019
USDJPY,1,2019-04-02 16:00:00,2019-04-04 08:00:00,111.373,111.414,111.03325,112.05251,0.3098,4.1,11.56,11.33,10,time_exit,25.64345,0.2265,2.27194,0.26999,new_york,2019
USDJPY,1,2019-04-15 12:00:00,2019-04-17 04:00:00,111.96,111.967,111.71734,112.44532,0.4343,0.7,2.77,2.54,10,time_exit,34.46231,0.16177,3.12225,2.313,london,2019
USDJPY,1,2019-04-18 16:00:00,2019-04-22 08:00:00,111.968,111.924,111.7567,112.3906,0.4988,-4.4,-19.97,-20.2,10,time_exit,27.92366,0.14087,1.6408,3.54425,new_york,2019
USDJPY,-1,2019-04-24 12:00:00,2019-04-24 20:00:00,111.831,112.02438,112.02438,111.44424,0.5439,-19.3,-95.71,-95.94,2,stop_loss,20.24857,0.12892,0.00421,3.54306,london,2019
USDJPY,-1,2019-04-25 12:00:00,2019-04-29 04:00:00,111.867,111.608,112.13579,111.32943,0.3874,25.9,91.31,91.08,10,time_exit,18.46784,0.17919,0.01847,2.5356,london,2019
USDJPY,1,2019-05-01 04:00:00,2019-05-01 16:00:00,111.397,111.14017,111.14017,111.91067,0.4093,-25.7,-95.66,-95.89,3,stop_loss,17.86051,0.17122,-1.72403,1.44573,tokyo,2019
USDJPY,1,2019-05-01 16:00:00,2019-05-01 20:00:00,111.415,111.16825,111.16825,111.90849,0.4218,-24.7,-94.71,-94.94,1,stop_loss,18.46478,0.1645,-1.50654,1.33282,new_york,2019
USDJPY,1,2019-05-02 16:00:00,2019-05-03 16:00:00,111.516,111.23128,111.23128,112.08544,0.3619,-28.5,-93.77,-93.99,6,stop_loss,16.3401,0.18981,-0.53971,0.91565,new_york,2019
USDJPY,1,2019-05-09 12:00:00,2019-05-13 04:00:00,109.704,109.777,109.33434,110.44333,0.2759,7.3,18.33,18.1,10,time_exit,46.8081,0.24644,-4.6071,-1.60396,london,2019
USDJPY,-1,2019-05-14 12:00:00,2019-05-16 04:00:00,109.668,109.464,110.08963,108.82473,0.2424,20.4,45.0,44.77,10,time_exit,39.82355,0.28109,-1.92752,-2.70482,london,2019
USDJPY,-1,2019-05-16 12:00:00,2019-05-16 16:00:00,109.553,109.94553,109.94553,108.76794,0.2616,-39.3,-93.44,-93.67,1,stop_loss,28.6388,0.26169,-1.49884,-3.29245,london,2019
USDJPY,1,2019-05-21 16:00:00,2019-05-23 00:00:00,110.546,110.181,110.181,111.276,0.2785,-36.5,-92.5,-92.73,8,stop_loss,15.75012,0.24333,2.29698,-2.79534,new_york,2019
USDJPY,1,2019-05-23 04:00:00,2019-05-23 16:00:00,110.212,109.89709,109.89709,110.84182,0.3196,-31.5,-91.59,-91.81,3,stop_loss,15.57793,0.20994,0.48099,-2.53909,tokyo,2019
USDJPY,-1,2019-05-27 08:00:00,2019-05-29 00:00:00,109.483,109.275,109.81652,108.81597,0.2987,20.8,56.54,56.31,10,time_exit,23.25463,0.22234,-1.93215,-2.74363,tokyo,2019
