symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,2019-02-21 04:00:00,2019-02-22 20:00:00,110.711,110.651,110.40769,111.31761,0.3623,-6.0,-19.78,-20.01,10,time_exit,18.86531,0.2022,1.04114,3.23792,tokyo,2019
USDJPY,2019-03-01 00:00:00,2019-03-01 20:00:00,111.387,112.0574,111.0518,112.0574,0.3272,67.0,199.61,199.39,5,take_profit,15.36404,0.22347,2.80897,2.79886,tokyo,2019
USDJPY,2019-03-07 20:00:00,2019-03-08 04:00:00,111.625,111.34955,111.34955,112.1759,0.4061,-27.5,-101.79,-102.02,2,stop_loss,15.46244,0.18363,0.84259,4.99769,new_york,2019
USDJPY,2019-03-12 04:00:00,2019-03-13 20:00:00,111.423,111.08524,111.08524,112.09852,0.3279,-33.8,-100.78,-101.01,10,stop_loss,32.99717,0.22517,0.32743,3.1691,tokyo,2019
USDJPY,2019-03-15 16:00:00,2019-03-18 16:00:00,111.654,111.32632,111.32632,112.30937,0.3346,-32.8,-99.77,-100.0,6,stop_loss,22.49905,0.21846,0.97765,2.94835,new_york,2019
USDJPY,2019-03-21 12:00:00,2019-03-22 16:00:00,110.453,110.0929,110.0929,111.1732,0.3014,-36.0,-98.77,-98.99,7,stop_loss,24.3758,0.24007,-3.61595,1.76817,london,2019
USDJPY,2019-03-28 16:00:00,2019-04-01 08:00:00,110.515,111.011,110.10747,111.33005,0.2636,49.6,118.98,118.75,10,time_exit,23.79255,0.27168,-0.40699,-0.45012,new_york,2019
USDJPY,2019-04-02 00:00:00,2019-04-03 16:00:00,111.342,111.47,110.9497,112.12659,0.2772,12.8,32.29,32.06,10,time_exit,22.71675,0.26153,2.21498,-0.01891,tokyo,2019
USDJPY,2019-04-04 16:00:00,2019-04-08 08:00:00,111.483,111.46,111.20569,112.03762,0.3934,-2.3,-8.23,-8.46,10,time_exit,26.98519,0.18487,2.18603,1.13764,new_york,2019
USDJPY,2019-04-15 00:00:00,2019-04-16 16:00:00,111.947,112.005,111.68546,112.47008,0.4168,5.8,22.0,21.77,10,time_exit,33.78801,0.17436,3.54314,1.93341,tokyo,2019
USDJPY,2019-04-22 08:00:00,2019-04-23 00:00:00,111.927,111.76905,111.76905,112.2429,0.6916,-15.8,-99.41,-99.64,4,stop_loss,17.60364,0.1053,1.16782,4.74303,tokyo,2019
