datetime,open,high,low,close,volume
2018-12-31 21:00:00,1.1445400000000001,1.14456,1.14447,1.14448,47
2019-01-02 00:00:00,1.1463,1.14644,1.14597,1.14609,857
2019-01-02 01:00:00,1.14622,1.14679,1.14558,1.14611,1822
2019-01-02 02:00:00,1.14611,1.14626,1.14544,1.14561,1497
2019-01-02 03:00:00,1.14561,1.14562,1.14458,1.14522,2348
2019-01-02 04:00:00,1.14522,1.14534,1.1442700000000001,1.14457,2459
2019-01-02 05:00:00,1.14457,1.1448800000000001,1.14446,1.14458,1019
2019-01-02 06:00:00,1.14457,1.1447,1.14428,1.1445,1341
2019-01-02 07:00:00,1.1445,1.14789,1.1445,1.14779,2871
2019-01-02 08:00:00,1.14779,1.14967,1.1476899999999999,1.1485400000000001,4115
2019-01-02 09:00:00,1.1485400000000001,1.14932,1.14739,1.14767,5042
2019-01-02 10:00:00,1.1476600000000001,1.14782,1.14289,1.14481,9526
2019-01-02 11:00:00,1.14481,1.14499,1.14224,1.14341,7229
2019-01-02 12:00:00,1.1434199999999999,1.14419,1.14321,1.1437,4928
2019-01-02 13:00:00,1.1437,1.14392,1.14247,1.14339,4390
2019-01-02 14:00:00,1.14339,1.1434199999999999,1.13979,1.14052,5251
2019-01-02 15:00:00,1.1405,1.14057,1.13675,1.13718,8424
2019-01-02 16:00:00,1.13718,1.13755,1.13582,1.13609,8047
2019-01-02 17:00:00,1.13609,1.1369799999999999,1.13419,1.13538,9659
2019-01-02 18:00:00,1.13538,1.13622,1.1348799999999999,1.13565,5604
2019-01-02 19:00:00,1.13564,1.1357,1.13315,1.13354,5585
2019-01-02 20:00:00,1.13354,1.13363,1.13264,1.1328,3846
2019-01-02 21:00:00,1.1328,1.13442,1.13251,1.13437,3060
2019-01-02 22:00:00,1.13436,1.13476,1.13404,1.13456,3261
2019-01-02 23:00:00,1.13456,1.13479,1.13401,1.13435,1601
2019-01-03 00:00:00,1.13419,1.13541,1.12982,1.13292,2992
2019-01-03 01:00:00,1.13438,1.135,1.13089,1.13122,5533
2019-01-03 02:00:00,1.13122,1.13467,1.13099,1.13397,4477
2019-01-03 03:00:00,1.13397,1.13526,1.13397,1.13484,3691
2019-01-03 04:00:00,1.13485,1.13615,1.13461,1.13583,3158
2019-01-03 05:00:00,1.13583,1.13715,1.13569,1.13648,2778
2019-01-03 06:00:00,1.13648,1.13679,1.13604,1.13673,1691
2019-01-03 07:00:00,1.13673,1.1369799999999999,1.1357,1.13609,3293
2019-01-03 08:00:00,1.13609,1.13766,1.13548,1.13723,3415
2019-01-03 09:00:00,1.13723,1.13769,1.13616,1.13697,6933
2019-01-03 10:00:00,1.13697,1.1384,1.1353900000000001,1.13801,9988
2019-01-03 11:00:00,1.13801,1.13842,1.1373,1.1375899999999999,5835
2019-01-03 12:00:00,1.1375899999999999,1.13796,1.13636,1.13684,5490
2019-01-03 13:00:00,1.13684,1.13718,1.13405,1.13415,5768
2019-01-03 14:00:00,1.13415,1.13555,1.13397,1.13436,3930
2019-01-03 15:00:00,1.13435,1.1367,1.13377,1.13655,7270
2019-01-03 16:00:00,1.13655,1.13724,1.13615,1.13644,6799
2019-01-03 17:00:00,1.13647,1.14094,1.13647,1.13928,17016
2019-01-03 18:00:00,1.13929,1.14112,1.13871,1.13984,10870
