datetime,open,high,low,close,volume
2019-01-02 00:00:00,1282.23,1282.37,1278.81,1279.92,26589
2019-01-02 04:00:00,1279.93,1286.57,1279.69,1286.28,41215
2019-01-02 08:00:00,1286.29,1288.78,1284.68,1287.09,72428
2019-01-02 12:00:00,1287.1,1287.93,1283.31,1284.32,76330
2019-01-02 16:00:00,1284.31,1287.75,1282.34,1284.1,109028
2019-01-02 20:00:00,1284.09,1284.97,1278.74,1284.51,53246
2019-01-03 00:00:00,1284.2,1290.24,1284.2,1288.35,47935
2019-01-03 04:00:00,1288.36,1290.29,1287.59,1290.05,44549
2019-01-03 08:00:00,1290.04,1292.37,1287.32,1288.19,81323
2019-01-03 12:00:00,1288.19,1290.17,1284.62,1287.82,84005
2019-01-03 16:00:00,1287.82,1291.38,1286.88,1290.43,141094
2019-01-03 20:00:00,1290.42,1295.0,1290.13,1294.19,63502
2019-01-04 00:00:00,1294.07,1298.61,1292.95,1297.03,48636
2019-01-04 04:00:00,1297.03,1298.15,1294.0,1295.55,54301
2019-01-04 08:00:00,1295.55,1295.83,1289.45,1290.17,75318
2019-01-04 12:00:00,1290.16,1292.16,1285.65,1287.75,78000
2019-01-04 16:00:00,1287.78,1287.84,1276.66,1284.41,152236
2019-01-04 20:00:00,1284.41,1285.89,1283.33,1284.91,52526
2019-01-07 00:00:00,1284.89,1289.84,1282.71,1288.92,40760
2019-01-07 04:00:00,1288.91,1291.77,1288.23,1291.51,39506
2019-01-07 08:00:00,1291.5,1292.42,1288.77,1291.39,69842
2019-01-07 12:00:00,1291.4,1295.1,1290.54,1292.4,62474
2019-01-07 16:00:00,1292.42,1293.11,1286.22,1288.27,98626
2019-01-07 20:00:00,1288.31,1289.23,1286.81,1289.23,38121
2019-01-08 00:00:00,1288.9,1290.25,1286.17,1286.34,31447
2019-01-08 04:00:00,1286.35,1287.15,1281.85,1283.06,48963
2019-01-08 08:00:00,1283.06,1284.8,1281.7,1283.56,60886
2019-01-08 12:00:00,1283.55,1284.17,1279.43,1280.73,66226
2019-01-08 16:00:00,1280.72,1287.05,1280.42,1286.44,100560
2019-01-08 20:00:00,1286.45,1286.94,1284.21,1285.27,39757
2019-01-09 00:00:00,1284.99,1287.18,1284.68,1285.85,28120
2019-01-09 04:00:00,1285.83,1286.22,1281.6,1282.59,42298
2019-01-09 08:00:00,1282.58,1283.67,1280.67,1281.23,53342
2019-01-09 12:00:00,1281.22,1285.53,1280.13,1284.7,57884
2019-01-09 16:00:00,1284.67,1291.85,1284.42,1289.95,99704
2019-01-09 20:00:00,1289.91,1293.9,1289.57,1293.25,32014
2019-01-10 00:00:00,1292.81,1293.88,1291.65,1292.63,14770
2019-01-10 04:00:00,1292.64,1297.09,1292.63,1296.32,17960
2019-01-10 08:00:00,1296.32,1297.05,1292.05,1293.05,30796
2019-01-10 12:00:00,1293.05,1294.66,1289.8,1289.96,29349
2019-01-10 16:00:00,1289.95,1292.39,1287.59,1288.0,36319
2019-01-10 20:00:00,1287.98,1288.79,1286.19,1286.5,23914
2019-01-11 00:00:00,1286.89,1290.26,1286.74,1289.88,12119
2019-01-11 04:00:00,1289.88,1294.37,1289.37,1294.0,15382
