datetime,open,high,low,close,volume
2019-01-02 00:00:00,109.663,109.726,109.54,109.598,12007
2019-01-02 04:00:00,109.598,109.612,109.298,109.303,13194
2019-01-02 08:00:00,109.303,109.346,108.708,108.942,27661
2019-01-02 12:00:00,108.942,109.286,108.82,109.188,25885
2019-01-02 16:00:00,109.188,109.465,109.175,109.443,25756
2019-01-02 20:00:00,109.442,109.455,108.867,108.878,12584
2019-01-03 00:00:00,108.869,108.882,104.629,107.535,33831
2019-01-03 04:00:00,107.535,107.549,106.746,106.968,19372
2019-01-03 08:00:00,106.967,107.958,106.799,107.658,39973
2019-01-03 12:00:00,107.658,108.001,107.507,107.747,21622
2019-01-03 16:00:00,107.748,108.305,107.104,108.024,51731
2019-01-03 20:00:00,108.024,108.028,107.392,107.637,19483
2019-01-04 00:00:00,107.64,107.97,107.513,107.84,34447
2019-01-04 04:00:00,107.839,108.446,107.806,108.255,22243
2019-01-04 08:00:00,108.253,108.285,107.822,108.032,24591
2019-01-04 12:00:00,108.032,108.453,107.929,108.3,21907
2019-01-04 16:00:00,108.3,108.589,108.064,108.451,39116
2019-01-04 20:00:00,108.451,108.587,108.352,108.515,12730
2019-01-07 00:00:00,108.48,108.622,108.32,108.369,20121
2019-01-07 04:00:00,108.369,108.392,108.019,108.191,16702
2019-01-07 08:00:00,108.192,108.275,108.068,108.197,17468
2019-01-07 12:00:00,108.197,108.408,108.146,108.355,12212
2019-01-07 16:00:00,108.355,108.647,108.212,108.605,23137
2019-01-07 20:00:00,108.605,108.747,108.516,108.714,10156
2019-01-08 00:00:00,108.72,108.773,108.513,108.56,14587
2019-01-08 04:00:00,108.56,108.998,108.528,108.785,16328
2019-01-08 08:00:00,108.784,109.087,108.736,108.873,18960
2019-01-08 12:00:00,108.873,108.902,108.601,108.873,17086
2019-01-08 16:00:00,108.873,108.961,108.441,108.59,25615
2019-01-08 20:00:00,108.59,108.834,108.561,108.741,9645
2019-01-09 00:00:00,108.718,108.856,108.68,108.791,15146
2019-01-09 04:00:00,108.791,109.004,108.777,108.855,13659
2019-01-09 08:00:00,108.855,108.991,108.79,108.907,14730
2019-01-09 12:00:00,108.907,108.944,108.724,108.749,13665
2019-01-09 16:00:00,108.749,108.755,108.05,108.317,31363
2019-01-09 20:00:00,108.317,108.367,107.973,108.132,18666
2019-01-10 00:00:00,108.155,108.258,107.843,107.97,25044
2019-01-10 04:00:00,107.969,108.002,107.819,107.909,15524
2019-01-10 08:00:00,107.909,108.148,107.77,108.093,18941
2019-01-10 12:00:00,108.093,108.228,107.963,108.192,13979
2019-01-10 16:00:00,108.192,108.435,107.919,108.393,23132
2019-01-10 20:00:00,108.393,108.518,108.204,108.425,12732
2019-01-11 00:00:00,108.423,108.473,108.271,108.395,16108
2019-01-11 04:00:00,108.397,108.403,108.229,108.299,10687
2019-01-11 08:00:00,108.3,108.432,108.233,108.335,12331
2019-01-11 12:00:00,108.335,108.362,108.145,108.204,15108
2019-01-11 16:00:00,108.204,108.599,108.188,108.407,22889
2019-01-11 20:00:00,108.407,108.576,108.377,108.554,5320
2019-01-14 00:00:00,108.514,108.547,108.167,108.204,8368
2019-01-14 04:00:00,108.205,108.26,108.06,108.108,6351
