datetime,open,high,low,close,volume
2019-01-02 00:00:00,0.70512,0.70522,0.70224,0.70249,28927
2019-01-02 04:00:00,0.7025,0.703,0.70016,0.7026,42117
2019-01-02 08:00:00,0.7026,0.70447,0.70097,0.70153,65788
2019-01-02 12:00:00,0.70153,0.70175,0.6982,0.6986,47532
2019-01-02 16:00:00,0.69861,0.70108,0.69832,0.69984,52220
2019-01-02 20:00:00,0.69984,0.70005,0.69815,0.69849,33152
2019-01-03 00:00:00,0.69838,0.69843,0.67307,0.69366,59059
2019-01-03 04:00:00,0.69364,0.69478,0.69287,0.69424,47484
2019-01-03 08:00:00,0.69424,0.6974,0.69335,0.69626,69531
2019-01-03 12:00:00,0.69627,0.69882,0.6951,0.69876,44263
2019-01-03 16:00:00,0.69876,0.70194,0.6981,0.70161,68181
2019-01-03 20:00:00,0.70161,0.70169,0.69992,0.70051,34844
2019-01-04 00:00:00,0.70048,0.70184,0.69934,0.70165,38178
2019-01-04 04:00:00,0.70166,0.70301,0.70157,0.70196,40511
2019-01-04 08:00:00,0.70197,0.70544,0.70155,0.70474,46790
2019-01-04 12:00:00,0.70475,0.70493,0.7026,0.70436,53629
2019-01-04 16:00:00,0.70436,0.71178,0.70345,0.71102,69829
2019-01-04 20:00:00,0.71102,0.71246,0.71092,0.71181,31058
2019-01-07 00:00:00,0.71145,0.71312,0.7109,0.71294,37998
2019-01-07 04:00:00,0.71294,0.71379,0.71218,0.71308,40508
2019-01-07 08:00:00,0.71308,0.71417,0.7122,0.71285,43688
2019-01-07 12:00:00,0.71286,0.71403,0.71218,0.71346,38183
2019-01-07 16:00:00,0.71346,0.71468,0.71232,0.71466,44478
2019-01-07 20:00:00,0.71467,0.71497,0.71394,0.71482,23795
2019-01-08 00:00:00,0.71475,0.71494,0.71326,0.71333,30508
2019-01-08 04:00:00,0.71332,0.71489,0.71222,0.71238,39343
2019-01-08 08:00:00,0.71239,0.71391,0.71165,0.71292,45006
2019-01-08 12:00:00,0.71292,0.71463,0.71225,0.71282,46685
2019-01-08 16:00:00,0.71282,0.7145,0.71179,0.71438,51171
2019-01-08 20:00:00,0.71438,0.71459,0.71355,0.71398,21846
2019-01-09 00:00:00,0.71396,0.71712,0.71339,0.71585,35351
2019-01-09 04:00:00,0.71585,0.7167,0.71493,0.71546,31897
2019-01-09 08:00:00,0.71546,0.71636,0.71459,0.71579,39304
2019-01-09 12:00:00,0.71579,0.71709,0.71563,0.7169,36722
2019-01-09 16:00:00,0.7169,0.7194,0.71566,0.71793,52137
2019-01-09 20:00:00,0.71793,0.71912,0.71685,0.71705,12096
2019-01-10 00:00:00,0.71691,0.71796,0.7146,0.71614,9857
2019-01-10 04:00:00,0.71614,0.71902,0.71539,0.71897,11644
2019-01-10 08:00:00,0.71897,0.71915,0.71712,0.71826,13283
2019-01-10 12:00:00,0.71826,0.71976,0.7179,0.71831,12517
2019-01-10 16:00:00,0.71832,0.71943,0.71785,0.71847,15622
2019-01-10 20:00:00,0.71848,0.71895,0.7172,0.71854,8926
2019-01-11 00:00:00,0.71847,0.72047,0.71819,0.71925,10319
2019-01-11 04:00:00,0.71925,0.72196,0.71879,0.72125,10381
2019-01-11 08:00:00,0.72125,0.72254,0.72066,0.72181,12286
2019-01-11 12:00:00,0.72181,0.72351,0.72105,0.72146,15220
2019-01-11 16:00:00,0.72146,0.72165,0.71838,0.72073,17245
2019-01-11 20:00:00,0.72072,0.72142,0.72015,0.72139,7028
2019-01-14 00:00:00,0.72108,0.7218,0.71999,0.72101,8052
2019-01-14 04:00:00,0.72102,0.7212,0.71796,0.71844,7501
