datetime,open,high,low,close,volume
2018-12-31 21:00:00,139.77,139.778,139.76,139.761,101
2019-01-02 00:00:00,139.736,139.858,139.672,139.722,8005
2019-01-02 01:00:00,139.726,139.909,139.705,139.882,3712
2019-01-02 02:00:00,139.882,139.882,139.64,139.78,6016
2019-01-02 03:00:00,139.78,139.816,139.668,139.699,4366
2019-01-02 04:00:00,139.699,139.7,139.229,139.283,7338
2019-01-02 05:00:00,139.283,139.323,139.205,139.314,4902
2019-01-02 06:00:00,139.314,139.331,139.219,139.312,2791
2019-01-02 07:00:00,139.311,139.48,139.302,139.443,3626
2019-01-02 08:00:00,139.443,139.488,139.301,139.376,5524
2019-01-02 09:00:00,139.376,139.458,139.291,139.405,7951
2019-01-02 10:00:00,139.407,139.464,138.32,138.504,16898
2019-01-02 11:00:00,138.504,138.564,138.146,138.253,12382
2019-01-02 12:00:00,138.253,138.413,138.084,138.215,9217
2019-01-02 13:00:00,138.215,138.321,138.112,138.197,8726
2019-01-02 14:00:00,138.197,138.367,138.039,138.101,9427
2019-01-02 15:00:00,138.101,138.143,137.445,137.7,13239
2019-01-02 16:00:00,137.7,137.895,137.631,137.854,10482
2019-01-02 17:00:00,137.854,138.045,137.655,137.713,13330
2019-01-02 18:00:00,137.713,137.901,137.508,137.611,12305
2019-01-02 19:00:00,137.61,137.821,137.568,137.769,10269
2019-01-02 20:00:00,137.769,137.878,137.732,137.838,5486
2019-01-02 21:00:00,137.837,137.837,137.687,137.737,6368
2019-01-02 22:00:00,137.734,137.741,137.517,137.585,11967
2019-01-02 23:00:00,137.585,137.622,137.236,137.32,5520
2019-01-03 00:00:00,137.261,137.284,131.166,133.118,16037
2019-01-03 01:00:00,133.117,135.298,132.974,134.449,20284
2019-01-03 02:00:00,134.45,135.251,134.448,135.065,10047
2019-01-03 03:00:00,135.066,135.239,134.73,134.928,8234
2019-01-03 04:00:00,134.925,134.933,134.394,134.409,9225
2019-01-03 05:00:00,134.409,134.607,134.274,134.475,7161
2019-01-03 06:00:00,134.475,134.619,134.444,134.456,4867
2019-01-03 07:00:00,134.456,134.489,133.88,134.201,8365
2019-01-03 08:00:00,134.201,134.225,134.041,134.131,8352
2019-01-03 09:00:00,134.132,135.11,134.132,135.004,18509
2019-01-03 10:00:00,135.004,135.563,134.829,135.286,18966
2019-01-03 11:00:00,135.286,135.676,135.271,135.443,12749
2019-01-03 12:00:00,135.443,135.467,135.157,135.295,10967
2019-01-03 13:00:00,135.295,135.318,134.997,135.066,10456
2019-01-03 14:00:00,135.066,135.357,134.982,135.226,8409
2019-01-03 15:00:00,135.225,135.798,135.125,135.655,18186
2019-01-03 16:00:00,135.655,135.886,135.505,135.531,15737
2019-01-03 17:00:00,135.523,135.839,134.947,135.512,32529
2019-01-03 18:00:00,135.512,136.788,135.459,136.542,25384
2019-01-03 19:00:00,136.542,136.645,136.261,136.574,17531
2019-01-03 20:00:00,136.573,136.581,136.191,136.229,12159
2019-01-03 21:00:00,136.229,136.263,136.073,136.086,10335
2019-01-03 22:00:00,136.086,136.131,135.696,135.853,12989
2019-01-03 23:00:00,135.852,136.07,135.807,136.026,4207
2019-01-04 00:00:00,135.96,136.055,135.917,136.039,2853
2019-01-04 01:00:00,136.036,136.355,136.018,136.19,10821
2019-01-04 02:00:00,136.19,136.289,135.806,135.891,17158
2019-01-04 03:00:00,135.891,136.453,135.887,136.316,12743
2019-01-04 04:00:00,136.316,136.759,136.24,136.624,10224
2019-01-04 05:00:00,136.624,137.071,136.6,136.943,8544
2019-01-04 06:00:00,136.943,137.057,136.873,136.901,5887
2019-01-04 07:00:00,136.901,136.947,136.704,136.773,5134
2019-01-04 08:00:00,136.773,136.807,136.547,136.7,5780
2019-01-04 09:00:00,136.698,136.858,136.316,136.432,8862
2019-01-04 10:00:00,136.432,136.879,136.406,136.875,10799
2019-01-04 11:00:00,136.872,136.919,136.751,136.896,10523
2019-01-04 12:00:00,136.897,137.156,136.796,136.864,8674
2019-01-04 13:00:00,136.864,136.916,136.752,136.79,5014
2019-01-04 14:00:00,136.791,136.916,136.775,136.832,6387
2019-01-04 15:00:00,136.832,137.123,136.77,136.926,17473
2019-01-04 16:00:00,136.926,137.102,136.868,136.991,18048
2019-01-04 17:00:00,136.99,137.578,136.642,137.553,26764
2019-01-04 18:00:00,137.553,137.974,137.457,137.924,15137
2019-01-04 19:00:00,137.924,138.152,137.839,138.013,10113
2019-01-04 20:00:00,138.012,138.216,137.976,138.081,7373
2019-01-04 21:00:00,138.085,138.304,138.02,138.27,7471
2019-01-04 22:00:00,138.27,138.27,138.093,138.151,6201
2019-01-04 23:00:00,138.151,138.162,138.043,138.085,4040
2019-01-07 00:00:00,138.072,138.149,137.876,137.995,5479
2019-01-07 01:00:00,137.993,138.333,137.926,138.208,11425
2019-01-07 02:00:00,138.21,138.282,138.092,138.149,7922
2019-01-07 03:00:00,138.149,138.283,138.022,138.087,7718
2019-01-07 04:00:00,138.087,138.106,137.926,137.926,4803
2019-01-07 05:00:00,137.926,137.976,137.741,137.859,5108
2019-01-07 06:00:00,137.859,138.033,137.717,138.032,6307
2019-01-07 07:00:00,138.032,138.051,137.852,137.932,5020
2019-01-07 08:00:00,137.934,138.018,137.847,137.932,4165
2019-01-07 09:00:00,137.932,137.999,137.771,137.924,8988
2019-01-07 10:00:00,137.924,137.933,137.614,137.707,6824
2019-01-07 11:00:00,137.707,138.108,137.676,137.954,7457
