symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
AUDUSD,-1,2019-02-19 16:00:00,2019-02-19 20:00:00,0.71127,0.71421,0.71421,0.70538,0.3396,-29.4,-100.0,-100.0,1,stop_loss,15.79406,0.00196,-0.50405,-0.28113,new_york,2019
AUDUSD,1,2019-03-06 08:00:00,2019-03-08 00:00:00,0.7036,0.70177,0.70014,0.71053,0.2858,-18.3,-52.3,-52.3,10,time_exit,15.80889,0.00231,-3.04585,-0.76913,tokyo,2019
AUDUSD,1,2019-03-08 04:00:00,2019-03-11 20:00:00,0.70178,0.70762,0.69886,0.70762,0.3375,58.4,196.97,196.97,10,take_profit,25.64661,0.00195,-3.19424,-1.78392,tokyo,2019
AUDUSD,-1,2019-03-12 12:00:00,2019-03-14 04:00:00,0.70738,0.70588,0.71009,0.70196,0.3707,15.0,55.61,55.6,10,time_exit,19.65961,0.00181,0.37512,-2.14854,london,2019
AUDUSD,-1,2019-03-22 00:00:00,2019-03-25 16:00:00,0.7114,0.71096,0.71504,0.70411,0.2771,4.4,12.19,12.19,10,time_exit,17.60212,0.00243,0.7976,-0.32957,tokyo,2019
AUDUSD,1,2019-04-04 00:00:00,2019-04-05 16:00:00,0.71122,0.70997,0.7083,0.71706,0.3461,-12.5,-43.26,-43.26,10,time_exit,15.87429,0.00195,0.68336,-0.06878,tokyo,2019
AUDUSD,-1,2019-04-10 08:00:00,2019-04-10 16:00:00,0.71378,0.71634,0.71634,0.70866,0.3933,-25.6,-100.68,-100.68,2,stop_loss,11.36387,0.00171,1.41243,0.51617,tokyo,2019
AUDUSD,1,2019-04-10 16:00:00,2019-04-12 08:00:00,0.71374,0.71577,0.71114,0.71895,0.3829,20.3,77.73,77.73,10,time_exit,12.81855,0.00174,1.25262,0.58986,new_york,2019
AUDUSD,1,2019-04-19 16:00:00,2019-04-23 00:00:00,0.71491,0.7123,0.7123,0.72014,0.3844,-26.1,-100.46,-100.47,8,stop_loss,11.69067,0.00174,-0.27124,1.65144,new_york,2019
AUDUSD,-1,2019-04-24 00:00:00,2019-04-24 04:00:00,0.71011,0.70586,0.71223,0.70586,0.4682,42.5,198.93,198.93,1,take_profit,26.33242,0.00142,-2.79297,1.13107,tokyo,2019
AUDUSD,1,2019-05-14 00:00:00,2019-05-15 16:00:00,0.69434,0.69264,0.69145,0.70012,0.3512,-17.0,-59.7,-59.71,10,time_exit,19.13889,0.00193,-2.96521,-3.03536,tokyo,2019
AUDUSD,1,2019-05-17 12:00:00,2019-05-20 08:00:00,0.68776,0.69298,0.68515,0.69298,0.3861,52.2,201.71,201.71,5,take_profit,40.49193,0.00174,-4.35063,-4.5862,london,2019
AUDUSD,-1,2019-06-04 08:00:00,2019-06-04 16:00:00,0.69661,0.69923,0.69923,0.69137,0.3927,-26.2,-102.87,-102.87,2,stop_loss,24.02,0.00175,2.10805,-2.55111,tokyo,2019
AUDUSD,-1,2019-06-13 16:00:00,2019-06-14 16:00:00,0.69118,0.68663,0.69346,0.68663,0.4475,45.5,203.67,203.67,6,take_profit,23.28515,0.00152,-2.63137,-1.23531,new_york,2019
AUDUSD,-1,2019-06-19 08:00:00,2019-06-19 20:00:00,0.68716,0.68931,0.68931,0.68286,0.483,-21.5,-103.89,-103.89,3,stop_loss,40.83848,0.00143,-2.29977,-3.26107,tokyo,2019
AUDUSD,1,2019-06-28 12:00:00,2019-07-01 16:00:00,0.70115,0.69904,0.69904,0.70538,0.4866,-21.1,-102.83,-102.84,7,stop_loss,33.84372,0.00141,3.85241,0.31279,london,2019
AUDUSD,1,2019-07-05 12:00:00,2019-07-05 16:00:00,0.70176,0.69974,0.69974,0.7058,0.5035,-20.2,-101.81,-101.82,1,stop_loss,25.22262,0.00135,1.72087,2.03709,london,2019
AUDUSD,1,2019-07-23 20:00:00,2019-07-24 04:00:00,0.70018,0.69779,0.69779,0.70496,0.4221,-23.9,-100.8,-100.8,2,stop_loss,17.99661,0.00159,-1.34357,2.09524,new_york,2019
AUDUSD,1,2019-07-24 04:00:00,2019-07-25 16:00:00,0.69845,0.69603,0.69603,0.7033,0.4117,-24.2,-99.78,-99.78,9,stop_loss,19.71067,0.00162,-2.25797,1.92198,tokyo,2019
